TimeStamp,D1_Commanded_Torque,D1_DC_Bus_Voltage,D2_Motor_Speed,IVT_Result_I
1718634594506.178467,13.6905,514.975,667.893,-2677.67
1718634594515.178223,14.2,515.018,626.109,-2615.57
1718634594524.177979,14.2,516.196,589.93,-2350.06
1718634594533.177734,14.2,516.304,570.894,-2032.93
1718634594542.177490,13.5097,515.314,572.891,-1838.77
1718634594551.177246,13.2301,515.982,588.034,-1786.57
1718634594560.177002,13.4,516.397,607.531,-1788.15
1718634594569.176758,13.0549,516.025,631.746,-1958.24
1718634594578.176514,12.8,515.472,654.137,-2126.18
1718634594587.176270,12.5699,515.096,672.568,-2186.48
1718634594596.176025,12.4,515.9,686.424,-2246.78
1718634594605.175781,12.63,515.111,691.752,-2336.14
1718634594614.175537,12.8,514.896,677.793,-2432.89
1718634594623.175293,12.34,515.793,646.515,-2370.24
1718634594632.174805,12.805,516.039,609.156,-2189.8
1718634594641.174561,13.4,515.968,584.115,-2005.86
1718634594650.174316,13.17,515.793,577.319,-1815.51
1718634594659.174072,13,516.039,588.348,-1664.21
1718634594668.173828,13,515.551,606.811,-1773.1
1718634594677.173584,13,514.615,628.593,-1882
1718634594686.173340,14.667,514.493,650.347,-2149.46
1718634594695.173096,14.2331,514.925,671.592,-2432.95
1718634594704.172852,13,515.3,691.027,-2516.71
1718634594713.172607,12.8851,514.697,699.391,-2508.99
1718634594722.172363,12.8,514.788,688.483,-2488.31
1718634594731.172119,12.3403,515.515,656.384,-2443.78
1718634594740.171875,12,515.903,616.068,-2258.29
1718634594749.171631,5.10449,516.693,581.876,-1629.66
1718634594758.171387,0,517.588,560.194,-1009.77
1718634594767.171143,6.77994,517.99,551.39,-840.058
1718634594776.170898,5.02038,516.844,555.781,-670.349
1718634594785.170654,0,516.571,560.854,-572.263
1718634594794.170410,0,517.093,565.78,-507.015
1718634594803.170166,0,517.2,568.537,-445.728
1718634594812.169922,0,517.107,571.707,-389.029
1718634594821.169434,0,517.51,576,-350.23
1718634594830.169189,6.77738,517.868,579.706,-367.78
1718634594839.168945,5.02294,517.507,588.169,-385.6
1718634594848.168701,0,516.937,597.169,-417.549
1718634594857.168457,7.00613,516.493,608.021,-449.498
1718634594866.168213,12.2,516.276,621.021,-660.652
